,IdUPC,Primer_Nombre,Apellido,Tipo_UPC,IdCiu,Id_Coor
0,60cab890df9d4afdab43bffc613f1afb,Michelle,Hicks,Barrial,27d4c3bd5c8645c8aa59863ce7b8fa18,252e329557b34f24855022321482812b
1,b873508c986e4ef092323e5a2bbb0284,Timothy,Espinoza,Movil,7c2d28d14c7448788e9b73f6fcbdb29f,dddd3407a22248c39b7409a331e103a1
2,9278c2bd82be4a36b2e5a2e74b4adb69,Debbie,Patton,Barrial,934837e7a88143a081ae1b8f46928ea2,9e88b382d3af4194b9c4ef03e4f25de9
3,5474b0fa815a44ecbb660678d47b53a3,Heather,Hansen,Barrial,7b0a341e75414df389c9f9e384f6c005,e93081c4e3b4497da0ca4727f48aa04f
4,761177fdd27f4c05b2073f5fd7eb8b13,Paul,Campos,Barrial,27610b3f441d40baa97f36d6201f7ae9,e93137118e1c48cf8299098b19bb46c3
5,430d356edad84e3fb1c3e6b5b4b67d74,Lisa,Grant,Movil,3f4d478d7347472686b21f74e66342f5,5764d3496a06414794ba60e660ada93e
6,a758ebafe5ec429995083f871e5a8375,Brian,Duke,Barrial,f0895f69396b40eebad4e608291943ac,f6c3f4ae80a9476cbbfda8f0799b9ac2
7,a0def2426e944f7bab17e2e354e5c9f3,Joseph,Hernandez,Barrial,18c781d0700242528a644cff76f13f13,40a86bbb0cfc4694977113e18801805d
8,3b723c7ef59343fdbfef63c563acbfab,Thomas,Blackwell,Barrial,ce1fed486e624476b4928fce602d7065,8909effa791943fd98b06fb51a4b3169
9,5e36555f96b84a5083a61a56f1aacf10,Joshua,Cervantes,Barrial,254b3063fefd4bdeae4d5e6010d5bdd9,0e1d9ace3d79406aa004e8c0feee5a3d
10,04fc539900404a278f52f800f8d468e1,Donald,Burch,Barrial,43d50abde3c14ce5a86859828d90aa6c,ddb418d2e5054fcc901025be948125da
11,35fff363c3f94b6d91bd587853a4240d,Denise,Sanchez,Barrial,63f5fd5286054f0a907fbc40363a6383,031c5f738cad4fc486ecec1f6cf2f244
12,0fa28730ac8143739e13b81fc3f4066d,Richard,Lee,Movil,14bad5312e314a52b0dac8e3bfaee7b7,f9dec873511747acb86dd50ed539a123
13,a1f7becee32e49eb98a3201548af5d67,Kim,Phillips,Movil,8b4fe3a6684c452a92af4565de406577,3ed9016e06054fa68a277707e02e92ab
14,fc97270491204a9486c596b43909c2e8,Sonya,Howell,Barrial,c7b5963f1ae24dae98d14477fbb64eb6,a225525a2d644b7193dd653c2ac1dcaf
